Hip,,,,,,,,,,Neck,,,,,,,,,,Head,,,,,,,,,,RShoulder,,,,,,,,,,RForearm,,,,,,,,,,LShoulder,,,,,,,,,,LForearm,,,,,,,,,,RThigh,,,,,,,,,,RShin,,,,,,,,,,LThigh,,,,,,,,,,LShin
x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,x-axis,y-axis,z-axis,x-speed,y-speed,z-speed,x-acc,y-acc,z-acc,,
-0.192091,0.89127,1.00739,0.00424504,-0.0132322,0.146785,-0.180566,0.12145,-1.07632,,-0.163787,1.41535,0.967124,-0.153235,-0.00297189,-0.0952131,1.3329,-0.234962,0.112867,,-0.151773,1.54371,1.02279,-0.145206,0.0393248,-0.198208,0.964254,-0.593948,0.907445,,-0.329882,1.4399,1.00067,-0.144918,0.0349224,-0.0870842,1.23763,-1.11966,0.357914,,-0.609471,1.34547,1.05806,-0.226913,0.235952,-0.171551,2.35552,-3.44138,1.73979,,0.00397717,1.4157,0.998921,-0.147062,0.0106645,-0.123718,1.37216,-0.191832,-0.0393748,,0.293997,1.33667,1.00363,-0.186313,-0.11541,0.0311351,0.83186,-1.27652,1.12288,,-0.291748,0.937399,1.00617,-0.0229311,-0.0735909,0.144478,0.144464,0.747049,-2.09727,,-0.338579,0.504635,1.06169,-0.0630981,-0.123897,-0.358794,0.868875,1.56641,3.31349,,-0.0906946,0.930208,0.991153,-0.0202976,0.0454652,0.138508,0.20881,-0.558758,-0.208032,,-0.0730619,0.492163,1.01036,-0.0416896,0.0354338,-0.137047,0.332607,-0.375724,0.984693,,
-0.191949,0.890829,1.01228,-0.00177428,-0.00918388,0.110908,-0.516218,0.301051,-1.60739,,-0.168895,1.41525,0.96395,-0.108805,-0.0108004,-0.091449,1.44657,0.128961,0.667548,,-0.156613,1.54502,1.01618,-0.113065,0.0195265,-0.16796,1.27949,-0.331521,1.83485,,-0.334713,1.44106,0.99777,-0.103664,-0.00240326,-0.0751537,1.38649,-0.629997,1.01044,,-0.617035,1.35333,1.05234,-0.148396,0.121236,-0.113554,2.32773,-3.19698,1.80416,,-0.000924885,1.41606,0.994797,-0.101323,0.00427008,-0.125029,1.46666,0.0105143,0.541055,,0.287787,1.33282,1.00467,-0.158584,-0.157961,0.0685644,1.36578,0.262857,-0.113297,,-0.292512,0.934946,1.01098,-0.0181148,-0.0486893,0.074569,-0.164795,1.0084,-2.30885,,-0.340682,0.500505,1.04973,-0.0341347,-0.0716829,-0.248348,0.250733,1.49957,3.93899,,-0.0913712,0.931723,0.99577,-0.0133371,0.02684,0.131573,-0.129752,-0.413382,-0.939202,,-0.0744516,0.493344,1.00579,-0.0306027,0.0229088,-0.10422,0.420651,-0.289786,1.4883,,
-0.192008,0.890523,1.01598,-0.0189816,0.000852943,0.0573278,0.0105143,0.152886,-1.13983,,-0.172522,1.41489,0.960902,-0.0605853,-0.00650168,-0.0691992,0.942448,0.215864,1.03962,,-0.160382,1.54567,1.01058,-0.0704151,0.00847578,-0.106798,1.16612,-0.0911951,1.7973,,-0.338168,1.44098,0.995265,-0.0574485,-0.0234032,-0.0414723,0.984639,0.199986,1.24229,,-0.621982,1.35738,1.04856,-0.0708032,0.0146699,-0.0534153,1.1865,-1.21536,0.08111,,-0.00430231,1.4162,0.990629,-0.0524341,0.00462413,-0.106993,0.929251,-0.0671625,1.00325,,0.282501,1.32756,1.00696,-0.113059,-0.149199,0.0647843,1.54597,1.79386,-0.838995,,-0.293116,0.933323,1.01347,-0.0236079,-0.0150758,-0.00238895,0.154871,0.515628,-0.412846,,-0.34182,0.498115,1.04145,-0.0257778,-0.0216982,-0.117048,-0.3209,0.746673,2.50669,,-0.0918157,0.932618,1.00016,-0.0176624,0.0130606,0.100265,0.057064,-0.162649,-1.65503,,-0.0754717,0.494108,1.00232,-0.0165812,0.0132492,-0.0546098,0.503679,-0.133896,1.1982,,
-0.192641,0.890551,1.01789,-0.0186311,0.00594914,0.0193369,0.474134,-0.0585794,-0.402331,,-0.174541,1.41468,0.958595,-0.0291699,0.000693798,-0.0345451,0.48658,0.0442028,0.532579,,-0.162729,1.54595,1.00702,-0.0315446,0.00543594,-0.046885,0.745815,-0.0409842,0.699091,,-0.340083,1.4402,0.993883,-0.024628,-0.0167334,-6.07967E-05,0.547707,0.344396,0.560689,,-0.624342,1.35786,1.04677,-0.0312531,-0.0258458,-0.0507081,0.555968,0.085187,0.117374,,-0.00605011,1.41635,0.987063,-0.021459,0.00238538,-0.0735498,0.445166,0.0231743,0.569594,,0.278732,1.32258,1.00912,-0.0615263,-0.0893998,0.0368178,0.921071,1.67799,0.812388,,-0.293903,0.93282,1.01339,-0.0184465,0.00211179,-0.0161469,0.453454,0.0213504,0.671411,,-0.342679,0.497392,1.03755,-0.0364736,0.00319183,-0.0334954,0.439024,0.0430763,1.01945,,-0.0924045,0.933053,1.0035,-0.01576,0.00763714,0.0450969,0.368241,-0.0964522,-1.28102,,-0.0760244,0.494549,1.0005,0.000208095,0.00878692,-0.0146699,0.13049,-0.119412,0.333667,,
-0.193262,0.890749,1.01853,-0.0028266,0.00399828,0.00592589,0.147227,-0.0210285,-0.162005,,-0.175514,1.4147,0.957444,-0.0129506,0.00216723,-0.0167924,0.189284,0.0107288,0.0108361,,-0.163781,1.54614,1.00546,-0.00668362,0.00407338,-0.0235784,0.161389,0.00901222,0.0208139,,-0.340904,1.43964,0.993881,-0.00637114,-0.00525355,0.0186288,0.130087,0.117588,-0.346863,,-0.625384,1.357,1.04508,-0.0127208,-0.0230098,-0.0467992,0.310493,0.649524,1.5559,,-0.00676541,1.41643,0.984611,-0.00662014,0.00315785,-0.0545651,0.122644,-0.0261784,0.377655,,0.276681,1.3196,1.01034,-0.030824,-0.0334668,0.063901,0.0829339,0.190973,0.871825,,-0.294518,0.932891,1.01285,-0.0033313,0.00282526,0.00622988,0.140709,-0.0162005,-0.00751019,,-0.343895,0.497498,1.03643,-0.0218394,0.0046286,0.000486374,0.849134,-0.089103,0.140333,,-0.0929298,0.933308,1.005,-0.00348508,0.00442207,0.00239611,0.130074,-0.0144839,-0.265646,,-0.0760174,0.494842,1.00001,0.00455774,0.00480562,-0.00354767,-0.370534,-0.0353515,-0.149345,,
-0.193356,0.890883,1.01873,0.00208095,0.00329912,0.000525713,-0.149801,-0.00933409,-0.0976324,,-0.175945,1.41477,0.956884,-0.00664115,0.00252485,-0.0164312,0.111875,0.0036478,0.0305772,,-0.164003,1.54627,1.00467,-0.00130445,0.00437737,-0.0228882,-0.0289679,-0.000858307,0.0785351,,-0.341116,1.43947,0.994502,-0.00203401,-0.00133753,0.00706494,-0.00675917,-0.00064373,-0.48151,,-0.625808,1.35624,1.04352,-0.00237286,-0.00135899,0.00506043,0.149453,0.386238,1.05808,,-0.00698608,1.41654,0.982792,-0.00253201,0.00228882,-0.0419748,0.0333265,-0.0236034,0.554895,,0.275654,1.31849,1.01247,-0.0280604,-0.0271046,0.0929618,0.252235,0.0478506,-1.41664,,-0.294629,0.932985,1.01306,0.00135988,0.00228703,0.00597596,-0.124884,0.00386238,-0.449324,,-0.344623,0.497653,1.03645,0.00646502,0.0016585,0.00516057,0.16914,-0.0195801,-0.266075,,-0.093046,0.933455,1.00508,0.000850707,0.00393927,-0.00645876,-0.0955135,-0.0179172,0.27144,,-0.0758655,0.495002,0.99989,-0.00779338,0.00362814,-0.00852585,-0.371473,-0.0246227,-0.00343323,,
-0.193287,0.890993,1.01875,-0.00291199,0.00298619,-0.00272512,-0.0975519,-0.0571847,0.00193119,,-0.176167,1.41486,0.956336,-0.00291243,0.00265002,-0.015412,0.0225574,-0.0545025,0.100851,,-0.164047,1.54642,1.00391,-0.00227004,0.00434518,-0.0202704,-0.0355661,-0.0641584,0.141835,,-0.341184,1.43942,0.994737,-0.00226021,-0.00135899,-0.0089854,-0.0360489,-0.0564337,-0.145376,,-0.625887,1.35619,1.04369,0.00261068,0.0115156,0.0403297,-0.166404,-0.599957,-1.79343,,-0.00707048,1.41661,0.981393,-0.00142112,0.00149846,-0.0234801,-0.0140816,-0.0862598,0.356734,,0.274718,1.31759,1.01557,-0.0196526,-0.025506,0.0457406,0.267363,0.320363,-0.795651,,-0.294583,0.933061,1.01326,-0.00280201,0.00241756,-0.00899792,-0.0867963,-0.0431299,-0.0751019,,-0.344407,0.497708,1.03662,0.0121021,0.00100493,-0.0037086,-0.31237,-0.0256419,-0.230455,,-0.0930176,0.933587,1.00487,-0.00233285,0.00334382,0.00258923,-0.0815257,-0.0702739,0.0821829,,-0.0761253,0.495123,0.999606,-0.0201758,0.00280738,-0.00864208,0.388089,-0.0531614,0.158894,,
-0.193384,0.891092,1.01866,-0.00616327,0.00108004,-0.00265718,0.0575602,-0.0373364,-0.0115871,,-0.176264,1.41495,0.955823,-0.00216052,0.000829697,-0.0120503,-0.114396,-0.0442028,-0.183249,,-0.164122,1.54656,1.00324,-0.00345558,0.00220299,-0.0155389,0.0071615,-0.0289679,-0.257492,,-0.341259,1.43938,0.994438,-0.00346273,-0.00324011,-0.0138313,-0.011158,-0.0592232,0.269723,,-0.6258,1.35657,1.04504,-0.00293434,-0.00848293,-0.0194514,-0.167584,-0.80874,-1.91789,,-0.00711785,1.41666,0.98061,-0.00189051,-0.00137687,-0.0115889,-0.0449404,-0.0343323,-0.657249,,0.274063,1.31674,1.0171,-0.0107414,-0.0148237,0.0192189,0.0415742,0.43323,-0.101709,,-0.294677,0.933142,1.01296,-0.00569522,0.000978112,-0.0115013,0.0448465,-0.0365853,0.215435,,-0.344004,0.497741,1.0365,0.0016889,0.000150204,-0.0113905,-0.212431,-0.0190973,0.00107288,,-0.0930954,0.933698,1.00495,-0.00505015,0.00100315,0.00533223,0.0270769,-0.0401259,-0.245905,,-0.0767978,0.495217,0.999318,-0.00723951,0.00103623,-0.00334561,0.0442296,-0.045222,0.183892,,
-0.193589,0.891128,1.01857,-0.00424504,-0.000164509,-0.00304699,0.0399113,-0.00225306,-0.0480652,,-0.176336,1.41497,0.955421,-0.00597373,-0.00064373,-0.0181568,-0.202587,0.0371218,0.25599,,-0.164238,1.54664,1.00272,-0.00321731,0.00124097,-0.0241256,-0.251591,0.0124455,0.336886,,-0.341375,1.43927,0.993977,-0.00383467,-0.00521421,-0.00483871,-0.211304,-0.0665188,0.281954,,-0.625897,1.35629,1.04439,-0.0085187,-0.0354409,-0.0833809,-0.198484,-0.346112,-0.325728,,-0.00718087,1.41662,0.980224,-0.00338852,-0.00252128,-0.0334954,-0.201903,0.0768185,0.243866,,0.273705,1.31624,1.01774,-0.00935555,-0.000382662,0.0158286,-0.257385,0.133681,0.700378,,-0.294866,0.933174,1.01257,-0.00420034,-0.000241399,-0.00431657,0.0193656,-0.0375509,0.050211,,-0.343947,0.497746,1.03612,-0.00539124,-0.000486374,-0.0113511,0.0481188,-0.0444174,-0.0212431,,-0.0932637,0.933731,1.00513,-0.00414759,-0.00033617,-0.00286102,0.0134513,0.0422716,-0.104713,,-0.0770391,0.495251,0.999206,-0.00576519,-0.000471175,0.00278413,0.21624,0.0497282,-0.0981689,,
-0.193731,0.891123,1.01847,-0.00291467,-0.000237823,-0.00464559,-0.0534296,0.0115871,-0.0358343,,-0.176535,1.41495,0.954816,-0.0127266,0.000593662,-0.00962198,0.200602,-0.0154495,-0.259316,,-0.164345,1.54668,1.00191,-0.0116032,0.00165939,-0.0128925,0.199127,0.00600815,-0.319076,,-0.341503,1.4391,0.993815,-0.0108782,-0.00743508,0.00455797,0.172305,0.0371218,-0.409305,,-0.626181,1.35511,1.04161,-0.015133,-0.046978,-0.0942385,0.357592,0.174451,0.863457,,-0.00729382,1.41653,0.979107,-0.0101186,3.93391E-05,-0.0253665,0.181371,-0.0635147,-0.121021,,0.273393,1.31623,1.01826,-0.017935,0.00407338,0.0391781,0.191724,-0.322509,-0.88985,,-0.295007,0.933166,1.01243,-0.00355482,-0.0014931,-0.00264287,-0.0276268,0.0537515,-0.175738,,-0.344127,0.49773,1.03574,-0.00378728,-0.00196695,-0.0120556,-0.157929,0.0880837,0.193977,,-0.093402,0.93372,1.00503,-0.00369899,0.0010711,-0.00635505,-0.0180513,-0.0361562,0.0766039,,-0.0772313,0.495236,0.999299,0.00144281,0.00118733,-0.000486374,-0.086166,-0.0383556,0.0505328,,
